Scenario Process,Exchange 1 (Name),Exchange 1 (Amount),Exchange 1 (Unit),Exchange 2 (Name),Exchange 2 (Amount),Exchange 2 (Unit),Exchange 3 (Name),Exchange 3 (Amount),Exchange 3 (Unit),Exchange 4 (Name),Exchange 4 (Amount),Exchange 4 (Unit),Exchange 5 (Name),Exchange 5 (Amount),Exchange 5 (Unit),Exchange 6 (Name),Exchange 6 (Amount),Exchange 6 (Unit),Exchange 7 (Name),Exchange 7 (Amount),Exchange 7 (Unit),Exchange 8 (Name),Exchange 8 (Amount),Exchange 8 (Unit),Exchange 9 (Name),Exchange 9 (Amount),Exchange 9 (Unit),Exchange 10 (Name),Exchange 10 (Amount),Exchange 10 (Unit),Exchange 11 (Name),Exchange 11 (Amount),Exchange 11 (Unit),Exchange 12 (Name),Exchange 12 (Amount),Exchange 12 (Unit),Exchange 13 (Name),Exchange 13 (Amount),Exchange 13 (Unit)
,"photovoltaic facade installation, 3kWp, multi-Si, panel, mounted, at building_prod",8.352888e-06,unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"market for photovoltaic panel, multi-Si wafer",23.4737,square meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"market for photovoltaics, electric installation for 3kWp module, at building",1.0,unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"market for photovoltaic mounting system, for facade installation",22.79,square meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"market for inverter, 2.5kW",2.4,unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"offsite_electricity, alternative, distribution phase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"offsite_distribution network construction, electricity, low voltage_dist",2.1075862068965515e-09,kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"offsite_diesel, burned in building machine_cs",0.0530788142857143,megajoule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,market for building machine,1.34e-07,unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,market group for diesel,0.0234,kilogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,market for lubricating oil,0.0005139999999999999,kilogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,offsite_market for municipal solid waste_cs,-0.0005139999999999998,kilogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"market for maintenance, lorry 16 metric ton",9.65e-08,unit,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-1.6912030075188e-05,kilogram,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"treatment of municipal solid waste, open dump, wet infiltration class (500mm)",-2.0,kilogram,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"market group for transport, freight train",0.000639362449339934,ton kilometer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"market for transport, freight train",0.01056063755066007,ton kilometer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.00016756015037594,kilogram,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"treatment of municipal solid waste, open dump, wet infiltration class (500mm)",-2.0,kilogram,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"market group for transport, freight train",0.000639362449339934,ton kilometer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"market for transport, freight train",0.01056063755066007,ton kilometer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,offsite_road construction_cs,0.00109,meter-year,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-117.803652968037,kilogram,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"treatment of municipal solid waste, open dump, wet infiltration class (500mm)",-2.0,kilogram,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"market group for transport, freight train",0.000639362449339934,ton kilometer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"market for transport, freight train",0.01056063755066007,ton kilometer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"market for steel, low-alloyed, hot rolled",0.00767,kilogram,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"offsite_excavation, skid-steer loader_cs",0.242,cubic meter,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.003,kilogram,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"treatment of municipal solid waste, open dump, wet infiltration class (500mm)",-2.0,kilogram,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"market group for transport, freight train",0.000639362449339934,ton kilometer,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"market for transport, freight train",0.01056063755066007,ton kilometer,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,market for lubricating oil,0.003,kilogram,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,market for building machine,9.09e-07,unit,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,market for diesel,0.12999999999999962,kilogram,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"market for transport, freight, sea, container ship",0.009000000000000001,ton kilometer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"market for transport, freight, sea, tanker for petroleum",0.38999999999999885,ton kilometer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"market for bitumen adhesive compound, hot",3.24,kilogram,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"offsite_diesel, burned in building machine_cs",36.3,megajoule,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,market for building machine,1.34e-07,unit,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,market group for diesel,0.0234,kilogram,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,market for lubricating oil,0.0005139999999999999,kilogram,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.0005139999999999998,kilogram,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"market for transport, freight, sea, tanker for petroleum",0.0702,ton kilometer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"market for transport, freight, sea, container ship",0.0015419999999999998,ton kilometer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,market for reinforcing steel,0.344,kilogram,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.3516700000000002,kilogram,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"treatment of municipal solid waste, open dump, wet infiltration class (500mm)",-2.0,kilogram,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"market group for transport, freight train",0.000639362449339934,ton kilometer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"market for transport, freight train",0.01056063755066007,ton kilometer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"market for concrete, normal",0.0035981735159817414,cubic meter,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"market for gravel, crushed",105.99999999999997,kilogram,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"offsite_electricity, baseline",0.22478637946427948,kilowatt hour,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"offsite_electricity, baseline, end of life phase",1,item,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"offsite_distribution network construction, electricity, low voltage_eol",5.517241379310345e-09,kilometer,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,offsite_market for waste polyvinylchloride_cs,-58.4812552327261,kilogram,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"treatment of waste polyvinylchloride, open dump, wet infiltration class (500mm)",-1.9999999999999998,kilogram,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"market group for transport, freight train",0.000639362449339934,ton kilometer,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for transport, freight train",0.01056063755066007,ton kilometer,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,offsite_market for waste polyvinylchloride_cs,-558.5187447672743,kilogram,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"treatment of waste polyvinylchloride, open dump, wet infiltration class (500mm)",-1.9999999999999998,kilogram,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"market group for transport, freight train",0.000639362449339934,ton kilometer,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for transport, freight train",0.01056063755066007,ton kilometer,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,offsite_market for waste polyethylene_cs,-7.08030756221174,kilogram,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"treatment of waste polyethylene, open dump, wet infiltration class (500mm)",-1.9999999999999998,kilogram,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"market group for transport, freight train",0.000639362449339934,ton kilometer,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for transport, freight train",0.01056063755066007,ton kilometer,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,offsite_market for waste polyethylene_cs,-67.61969243778827,kilogram,,,,,,,,,,,,
