0,1,2,3,4,5,6,7,8,9,10
"((('IMPACT World+ Canada', 'Midpoint', 'Freshwater acidification'), 'onsite_heat, baseline'), 0.005233887149968186)","((('IMPACT World+ Canada', 'Midpoint', 'Marine eutrophication'), 'onsite_heat, baseline'), 4.645663499573867e-06)","((('IMPACT World+ Canada', 'Midpoint', 'Freshwater ecotoxicity'), 'onsite_heat, baseline'), 50.526161493287624)","((('IMPACT World+ Canada', 'Midpoint', 'Human toxicity non-cancer'), 'onsite_heat, baseline'), 1.0016569610357736e-09)","((('IMPACT World+ Canada', 'Midpoint', 'Freshwater eutrophication'), 'onsite_heat, baseline'), 6.74504800420641e-05)","((('IMPACT World+ Canada', 'Midpoint', 'Water scarcity'), 'onsite_heat, baseline'), 0.0005642580517740692)","((('IMPACT World+ Canada', 'Midpoint', 'Land transformation, biodiversity'), 'onsite_heat, baseline'), -7.270513951138657e-06)","((('IMPACT World+ Canada', 'Midpoint', 'Terrestrial acidification'), 'onsite_heat, baseline'), 0.005233887149968186)","((('IMPACT World+ Canada', 'Midpoint', 'Land occupation, biodiversity'), 'onsite_heat, baseline'), 0.0002599194169020584)","((('IMPACT World+ Canada', 'Midpoint', 'Human toxicity cancer'), 'onsite_heat, baseline'), 2.174862862650551e-11)","((('IMPACT World+ Canada', 'Midpoint', 'Particulate matter formation'), 'onsite_heat, baseline'), 2.1080903599557972e-05)"
"((('IMPACT World+ Canada', 'Midpoint', 'Freshwater eutrophication'), 'onsite_electricity, alternative'), 0.0002662686093410708)","((('IMPACT World+ Canada', 'Midpoint', 'Terrestrial acidification'), 'onsite_electricity, alternative'), 0.10793398705581274)","((('IMPACT World+ Canada', 'Midpoint', 'Freshwater ecotoxicity'), 'onsite_electricity, alternative'), 485.7615837228367)","((('IMPACT World+ Canada', 'Midpoint', 'Human toxicity cancer'), 'onsite_electricity, alternative'), 5.810813736539154e-10)","((('IMPACT World+ Canada', 'Midpoint', 'Freshwater acidification'), 'onsite_electricity, alternative'), 0.10793398705581274)","((('IMPACT World+ Canada', 'Midpoint', 'Human toxicity non-cancer'), 'onsite_electricity, alternative'), 3.1387248051022493e-08)","((('IMPACT World+ Canada', 'Midpoint', 'Marine eutrophication'), 'onsite_electricity, alternative'), 0.00026784532104828334)","((('IMPACT World+ Canada', 'Midpoint', 'Particulate matter formation'), 'onsite_electricity, alternative'), 0.0004861279509965822)","((('IMPACT World+ Canada', 'Midpoint', 'Land transformation, biodiversity'), 'onsite_electricity, alternative'), -4.256118264700704e-05)","((('IMPACT World+ Canada', 'Midpoint', 'Water scarcity'), 'onsite_electricity, alternative'), 0.046292160580726716)","((('IMPACT World+ Canada', 'Midpoint', 'Land occupation, biodiversity'), 'onsite_electricity, alternative'), 0.003881995791293176)"
"((('IMPACT World+ Canada', 'Midpoint', 'Land transformation, biodiversity'), 'onsite_heat, alternative'), -5.1758414618663114e-05)","((('IMPACT World+ Canada', 'Midpoint', 'Terrestrial acidification'), 'onsite_heat, alternative'), 0.003059709376800585)","((('IMPACT World+ Canada', 'Midpoint', 'Freshwater acidification'), 'onsite_heat, alternative'), 0.003059709376800585)","((('IMPACT World+ Canada', 'Midpoint', 'Human toxicity cancer'), 'onsite_heat, alternative'), 3.848559641016748e-11)","((('IMPACT World+ Canada', 'Midpoint', 'Freshwater eutrophication'), 'onsite_heat, alternative'), 7.1994504066877596e-06)","((('IMPACT World+ Canada', 'Midpoint', 'Land occupation, biodiversity'), 'onsite_heat, alternative'), 0.0017487177593533314)","((('IMPACT World+ Canada', 'Midpoint', 'Freshwater ecotoxicity'), 'onsite_heat, alternative'), 71.39253937151993)","((('IMPACT World+ Canada', 'Midpoint', 'Marine eutrophication'), 'onsite_heat, alternative'), 8.709631739680935e-06)","((('IMPACT World+ Canada', 'Midpoint', 'Particulate matter formation'), 'onsite_heat, alternative'), 8.780355450276799e-05)","((('IMPACT World+ Canada', 'Midpoint', 'Water scarcity'), 'onsite_heat, alternative'), 0.0015815698455252658)","((('IMPACT World+ Canada', 'Midpoint', 'Human toxicity non-cancer'), 'onsite_heat, alternative'), 1.3336027241595238e-09)"
"((('IMPACT World+ Canada', 'Midpoint', 'Land occupation, biodiversity'), 'onsite_electricity, baseline'), 0.0021439926859949912)","((('IMPACT World+ Canada', 'Midpoint', 'Freshwater acidification'), 'onsite_electricity, baseline'), 0.24517013213111175)","((('IMPACT World+ Canada', 'Midpoint', 'Freshwater ecotoxicity'), 'onsite_electricity, baseline'), 416.9735766276998)","((('IMPACT World+ Canada', 'Midpoint', 'Particulate matter formation'), 'onsite_electricity, baseline'), 0.0010929044806661525)","((('IMPACT World+ Canada', 'Midpoint', 'Terrestrial acidification'), 'onsite_electricity, baseline'), 0.24517013213111175)","((('IMPACT World+ Canada', 'Midpoint', 'Freshwater eutrophication'), 'onsite_electricity, baseline'), 0.0005935037866069961)","((('IMPACT World+ Canada', 'Midpoint', 'Land transformation, biodiversity'), 'onsite_electricity, baseline'), -6.139192142634811e-05)","((('IMPACT World+ Canada', 'Midpoint', 'Water scarcity'), 'onsite_electricity, baseline'), 0.019138289156360067)","((('IMPACT World+ Canada', 'Midpoint', 'Human toxicity cancer'), 'onsite_electricity, baseline'), 3.7003363210896863e-10)","((('IMPACT World+ Canada', 'Midpoint', 'Marine eutrophication'), 'onsite_electricity, baseline'), 0.0005899582986417562)","((('IMPACT World+ Canada', 'Midpoint', 'Human toxicity non-cancer'), 'onsite_electricity, baseline'), 7.098555798341947e-09)"
