0,1,2,3,4,5,6,7,8,9,10
"((('IMPACT World+ World', 'Midpoint', 'Human toxicity cancer'), 'onsite_heat, baseline'), 7.203392127105005e-10)","((('IMPACT World+ World', 'Midpoint', 'Terrestrial acidification'), 'onsite_heat, baseline'), 0.0003649664003142725)","((('IMPACT World+ World', 'Midpoint', 'Marine eutrophication'), 'onsite_heat, baseline'), 6.053056613628068e-06)","((('IMPACT World+ World', 'Midpoint', 'Freshwater ecotoxicity'), 'onsite_heat, baseline'), 4.176234545645325)","((('IMPACT World+ World', 'Midpoint', 'Land occupation, biodiversity'), 'onsite_heat, baseline'), 0.00026267010088240253)","((('IMPACT World+ World', 'Midpoint', 'Water scarcity'), 'onsite_heat, baseline'), 0.003684745715552218)","((('IMPACT World+ World', 'Midpoint', 'Particulate matter formation'), 'onsite_heat, baseline'), 2.688193071003249e-05)","((('IMPACT World+ World', 'Midpoint', 'Freshwater eutrophication'), 'onsite_heat, baseline'), 2.1295106323193205e-05)","((('IMPACT World+ World', 'Midpoint', 'Human toxicity non-cancer'), 'onsite_heat, baseline'), 4.849210725552384e-09)","((('IMPACT World+ World', 'Midpoint', 'Land transformation, biodiversity'), 'onsite_heat, baseline'), -7.211279600520452e-06)","((('IMPACT World+ World', 'Midpoint', 'Freshwater acidification'), 'onsite_heat, baseline'), 0.0003649664003142725)"
"((('IMPACT World+ World', 'Midpoint', 'Freshwater ecotoxicity'), 'onsite_electricity, alternative'), 44.27788134830184)","((('IMPACT World+ World', 'Midpoint', 'Freshwater eutrophication'), 'onsite_electricity, alternative'), 8.406490691360968e-05)","((('IMPACT World+ World', 'Midpoint', 'Terrestrial acidification'), 'onsite_electricity, alternative'), 0.00803053634512629)","((('IMPACT World+ World', 'Midpoint', 'Human toxicity non-cancer'), 'onsite_electricity, alternative'), 1.1661815019200998e-07)","((('IMPACT World+ World', 'Midpoint', 'Land occupation, biodiversity'), 'onsite_electricity, alternative'), 0.003922932955945197)","((('IMPACT World+ World', 'Midpoint', 'Land transformation, biodiversity'), 'onsite_electricity, alternative'), -4.140756738260598e-05)","((('IMPACT World+ World', 'Midpoint', 'Human toxicity cancer'), 'onsite_electricity, alternative'), 9.891027193865052e-09)","((('IMPACT World+ World', 'Midpoint', 'Marine eutrophication'), 'onsite_electricity, alternative'), 0.0003261138594835725)","((('IMPACT World+ World', 'Midpoint', 'Water scarcity'), 'onsite_electricity, alternative'), 0.30229934659797664)","((('IMPACT World+ World', 'Midpoint', 'Particulate matter formation'), 'onsite_electricity, alternative'), 0.0007052106603978433)","((('IMPACT World+ World', 'Midpoint', 'Freshwater acidification'), 'onsite_electricity, alternative'), 0.00803053634512629)"
"((('IMPACT World+ World', 'Midpoint', 'Human toxicity non-cancer'), 'onsite_heat, alternative'), 6.704390027857569e-09)","((('IMPACT World+ World', 'Midpoint', 'Human toxicity cancer'), 'onsite_heat, alternative'), 1.3144575539321466e-09)","((('IMPACT World+ World', 'Midpoint', 'Freshwater eutrophication'), 'onsite_heat, alternative'), 2.2729720987762594e-06)","((('IMPACT World+ World', 'Midpoint', 'Terrestrial acidification'), 'onsite_heat, alternative'), 0.00024066570937539882)","((('IMPACT World+ World', 'Midpoint', 'Freshwater ecotoxicity'), 'onsite_heat, alternative'), 5.682237927004039)","((('IMPACT World+ World', 'Midpoint', 'Particulate matter formation'), 'onsite_heat, alternative'), 0.0002296641079459069)","((('IMPACT World+ World', 'Midpoint', 'Land transformation, biodiversity'), 'onsite_heat, alternative'), -3.2697141136404906e-05)","((('IMPACT World+ World', 'Midpoint', 'Land occupation, biodiversity'), 'onsite_heat, alternative'), 0.0017669769218509213)","((('IMPACT World+ World', 'Midpoint', 'Freshwater acidification'), 'onsite_heat, alternative'), 0.00024066570937539882)","((('IMPACT World+ World', 'Midpoint', 'Water scarcity'), 'onsite_heat, alternative'), 0.010328045286785326)","((('IMPACT World+ World', 'Midpoint', 'Marine eutrophication'), 'onsite_heat, alternative'), 1.1690711783823844e-05)"
"((('IMPACT World+ World', 'Midpoint', 'Human toxicity cancer'), 'onsite_electricity, baseline'), 5.706775271090025e-09)","((('IMPACT World+ World', 'Midpoint', 'Freshwater eutrophication'), 'onsite_electricity, baseline'), 0.00018737785450007694)","((('IMPACT World+ World', 'Midpoint', 'Freshwater acidification'), 'onsite_electricity, baseline'), 0.01843832429690069)","((('IMPACT World+ World', 'Midpoint', 'Terrestrial acidification'), 'onsite_electricity, baseline'), 0.01843832429690069)","((('IMPACT World+ World', 'Midpoint', 'Water scarcity'), 'onsite_electricity, baseline'), 0.12497779827910094)","((('IMPACT World+ World', 'Midpoint', 'Marine eutrophication'), 'onsite_electricity, baseline'), 0.0007256250047731239)","((('IMPACT World+ World', 'Midpoint', 'Land occupation, biodiversity'), 'onsite_electricity, baseline'), 0.00216661614697519)","((('IMPACT World+ World', 'Midpoint', 'Human toxicity non-cancer'), 'onsite_electricity, baseline'), 4.501826118155834e-08)","((('IMPACT World+ World', 'Midpoint', 'Freshwater ecotoxicity'), 'onsite_electricity, baseline'), 35.07929161396431)","((('IMPACT World+ World', 'Midpoint', 'Land transformation, biodiversity'), 'onsite_electricity, baseline'), -6.084957147777227e-05)","((('IMPACT World+ World', 'Midpoint', 'Particulate matter formation'), 'onsite_electricity, baseline'), 0.0015287732497589654)"
