Method Name,Type,Category,Flow ID,Flow Name,Category.1,Subcategory,Unit,Impact Factor
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3830,Naphthalene,air,,kilogram,4.4479342119345e-09
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),510,Napropamide,soil,agricultural,kilogram,1.4785968330415399e-12
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1821,Nickel,air,,kilogram,4.17394120931833e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1818,Nickel,air,non-urban air or from high stacks,kilogram,4.31369381067933e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1819,Nickel,air,"low population density, long-term",kilogram,4.31369381067933e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),518,Nickel,air,urban air close to ground,kilogram,4.03418860795733e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1820,Nickel,air,lower stratosphere + upper troposphere,kilogram,4.31369381067933e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),2350,Nickel,soil,,kilogram,9.25647177209938e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),2347,Nickel,soil,agricultural,kilogram,1.0709527033615e-09
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),2349,Nickel,soil,industrial,kilogram,9.25647177209938e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3726,Nickel,water,ground-,kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3209,"Nickel, ion",water,,kilogram,7.075986272838211e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3207,"Nickel, ion",water,ocean,kilogram,2.3532367875247898e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3208,"Nickel, ion",water,surface water,kilogram,1.3916648866923901e-09
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),521,"Nickel, ion",water,ground-,kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3206,"Nickel, ion",water,"ground-, long-term",kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1833,Nitrobenzene,air,,kilogram,1.90709133860683e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1830,Nitrobenzene,air,non-urban air or from high stacks,kilogram,1.90967848242678e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1831,Nitrobenzene,air,"low population density, long-term",kilogram,1.90967848242678e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),526,Nitrobenzene,air,urban air close to ground,kilogram,1.90450419478689e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1832,Nitrobenzene,air,lower stratosphere + upper troposphere,kilogram,1.90967848242678e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3228,Nitrobenzene,water,,kilogram,2.77004519630906e-08
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3226,Nitrobenzene,water,ocean,kilogram,5.240796644331071e-09
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3227,Nitrobenzene,water,surface water,kilogram,5.01601072818501e-08
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3224,Nitrobenzene,water,ground-,kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3225,Nitrobenzene,water,"ground-, long-term",kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),533,Norflurazon,soil,agricultural,kilogram,3.0592418535471198e-12
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3736,Oryzalin,soil,agricultural,kilogram,2.75450421743968e-12
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),599,Oxamyl,soil,agricultural,kilogram,2.1504975059174798e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),601,Oxyfluorfen,soil,agricultural,kilogram,1.57663700408459e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1865,"PAH, polycyclic aromatic hydrocarbons",air,,kilogram,1.46760161304583e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1862,"PAH, polycyclic aromatic hydrocarbons",air,non-urban air or from high stacks,kilogram,1.56546916158031e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1863,"PAH, polycyclic aromatic hydrocarbons",air,"low population density, long-term",kilogram,1.56546916158031e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),604,"PAH, polycyclic aromatic hydrocarbons",air,urban air close to ground,kilogram,1.36973406451136e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1864,"PAH, polycyclic aromatic hydrocarbons",air,lower stratosphere + upper troposphere,kilogram,1.56546916158031e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3256,"PAH, polycyclic aromatic hydrocarbons",water,,kilogram,1.00182086144925e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3254,"PAH, polycyclic aromatic hydrocarbons",water,ocean,kilogram,6.138440265333569e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3728,"PAH, polycyclic aromatic hydrocarbons",soil,,kilogram,1.74106534276837e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3255,"PAH, polycyclic aromatic hydrocarbons",water,surface water,kilogram,1.38979769636514e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3252,"PAH, polycyclic aromatic hydrocarbons",water,ground-,kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3253,"PAH, polycyclic aromatic hydrocarbons",water,"ground-, long-term",kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3699,Paraquat,air,non-urban air or from high stacks,kilogram,1.28424251575499e-08
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),607,Paraquat,soil,agricultural,kilogram,1.1667729303402198e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),608,Parathion,soil,agricultural,kilogram,3.25909814439533e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),4153,Penconazole,soil,agricultural,kilogram,3.9098608396365094e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3674,Pendimethalin,air,non-urban air or from high stacks,kilogram,3.1030995621730203e-09
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),615,Pendimethalin,soil,agricultural,kilogram,1.7410119383781798e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3951,Pendimethalin,water,surface water,kilogram,1.2773622283157001e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3952,Pendimethalin,water,ground-,kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3673,Permethrin,air,non-urban air or from high stacks,kilogram,1.8877210947044e-08
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3847,Permethrin,water,,kilogram,3.39297855942412e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),619,Permethrin,soil,agricultural,kilogram,1.0694581068301199e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),620,Phenmedipham,soil,agricultural,kilogram,4.1114466848946104e-14
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1889,Phenol,air,,kilogram,4.03743679439497e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1886,Phenol,air,non-urban air or from high stacks,kilogram,4.45518256512386e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1887,Phenol,air,"low population density, long-term",kilogram,4.45518256512386e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),621,Phenol,air,urban air close to ground,kilogram,3.61969102366607e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1888,Phenol,air,lower stratosphere + upper troposphere,kilogram,4.45518256512386e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3274,Phenol,water,,kilogram,2.8652288105312698e-12
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3272,Phenol,water,ocean,kilogram,2.65615585092753e-13
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3273,Phenol,water,surface water,kilogram,5.46484203596978e-12
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3270,Phenol,water,ground-,kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3271,Phenol,water,"ground-, long-term",kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1893,"Phenol, 2,4-dichloro",air,,kilogram,9.16925708633857e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1890,"Phenol, 2,4-dichloro",air,non-urban air or from high stacks,kilogram,9.24997091857471e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1891,"Phenol, 2,4-dichloro",air,"low population density, long-term",kilogram,9.24997091857471e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),622,"Phenol, 2,4-dichloro",air,urban air close to ground,kilogram,9.08854325410243e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1892,"Phenol, 2,4-dichloro",air,lower stratosphere + upper troposphere,kilogram,9.24997091857471e-07
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1897,"Phenol, pentachloro-",air,,kilogram,4.07607026412907e-08
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1894,"Phenol, pentachloro-",air,non-urban air or from high stacks,kilogram,6.84581893048856e-08
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1895,"Phenol, pentachloro-",air,"low population density, long-term",kilogram,6.84581893048856e-08
