Scenario Process,Exchange 1 (Name),Exchange 1 (Amount),Exchange 1 (Unit),Exchange 2 (Name),Exchange 2 (Amount),Exchange 2 (Unit),Exchange 3 (Name),Exchange 3 (Amount),Exchange 3 (Unit),Exchange 4 (Name),Exchange 4 (Amount),Exchange 4 (Unit)
,,,,,,,,,,onsite_market for municipal solid waste_cs,-0.00016756015037594,kilogram
,,,,,,,,,,onsite_road construction_cs,0.00109,meter-year
,,,,,,,,,,onsite_road maintenance_cs,8.09172e-05,meter-year
,,,,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",1.0,ton kilometer
,,,,,,,,,,onsite_road construction_cs,-1.45614035087719e-05,kilogram
,,,,,,,,,,"offsite_diesel, burned in building machine_cs",1.0,megajoule
,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.0005139999999999998,kilogram
,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer
,,,,,,,,,,"offsite_excavation, hydraulic digger_cs",1.0,cubic meter
,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.0025,kilogram
,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer
,,,,,,,,,,"offsite_diesel, burned in building machine_cs",1.0,megajoule
,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.0005139999999999998,kilogram
,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer
,,,,,,,,,,"onsite_diesel, burned in building machine_cs",1.0,megajoule
,,,,,,,,,,onsite_market for municipal solid waste_cs,-0.0005139999999999998,kilogram
,,,,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer
,,,,,,,,,,"onsite_excavation, hydraulic digger_cs",1.0,cubic meter
,,,,,,,,,,onsite_market for municipal solid waste_cs,-0.0025,kilogram
,,,,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer
,,,,,,,,,,"onsite_diesel, burned in building machine_cs",1.0,megajoule
,,,,,,,,,,onsite_market for municipal solid waste_cs,-0.0005139999999999998,kilogram
,,,,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer
,"onsite_photovoltaic facade installation, 3kWp, multi-Si, panel, mounted, at building_dist",8.352888e-06,unit,,,,,,,,,
